,gene,correlation,pvalue
0,ATM_brac,,
1,ATR_brac,,
2,BAP1_brac,,
3,BLM_brac,,
4,BRCA1_brac,,
5,BRCA2_brac,,
6,BRIP1_brac,,
7,CDK12_brac,,
8,CHEK1_brac,,
9,CHEK2_brac,,
10,FANCA_brac,,
11,FANCC_brac,,
12,FANCD2_brac,,
13,FANCE_brac,,
14,FANCF_brac,,
15,MRE11_brac,,
16,NLRP2_brac,,
17,PALB2_brac,,
18,RAD51B_brac,,
19,RAD51C_brac,,
20,RAD51D_brac,,
21,TP53_brac,,
22,WRN_brac,,
23,brac,,
